JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
crossref1_(551MB),1024,7,$.items[*].author[*].given,69651653
crossref1_(551MB),2048,7,$.items[*].author[*].given,60971591.6
crossref1_(551MB),0,8,$.items[*].author[*].family,161131898.4
crossref1_(551MB),64,8,$.items[*].author[*].family,118213031.6
crossref1_(551MB),128,8,$.items[*].author[*].family,85949172.8
crossref1_(551MB),256,8,$.items[*].author[*].family,77572632
crossref1_(551MB),512,8,$.items[*].author[*].family,74463705.6
crossref1_(551MB),1024,8,$.items[*].author[*].family,69668229.6
crossref1_(551MB),2048,8,$.items[*].author[*].family,60975008.6
crossref1_(551MB),0,9,$.items[*].author[*].sequence,158778993.4
crossref1_(551MB),64,9,$.items[*].author[*].sequence,116710839.4
crossref1_(551MB),128,9,$.items[*].author[*].sequence,84354290.8
crossref1_(551MB),256,9,$.items[*].author[*].sequence,76995930.6
crossref1_(551MB),512,9,$.items[*].author[*].sequence,74128616.4
crossref1_(551MB),1024,9,$.items[*].author[*].sequence,69398404
crossref1_(551MB),2048,9,$.items[*].author[*].sequence,60827756
crossref1_(551MB),0,10,$.items[*].author[*],156771515.4
crossref1_(551MB),64,10,$.items[*].author[*],115232821
crossref1_(551MB),128,10,$.items[*].author[*],82993248
crossref1_(551MB),256,10,$.items[*].author[*],76924845.4
crossref1_(551MB),512,10,$.items[*].author[*],74308644
crossref1_(551MB),1024,10,$.items[*].author[*],69597205.8
crossref1_(551MB),2048,10,$.items[*].author[*],60932210.6
crossref1_(551MB),0,11,$.items[*].institution[*].name,199044173.6
crossref1_(551MB),64,11,$.items[*].institution[*].name,135841474.2
crossref1_(551MB),128,11,$.items[*].institution[*].name,83926891.4
crossref1_(551MB),256,11,$.items[*].institution[*].name,69948332.6
crossref1_(551MB),512,11,$.items[*].institution[*].name,60185562.8
crossref1_(551MB),1024,11,$.items[*].institution[*].name,53943420
crossref1_(551MB),2048,11,$.items[*].institution[*].name,50678146.4
crossref1_(551MB),0,12,$.items[*].link[*]..URL,179813774.4
crossref1_(551MB),64,12,$.items[*].link[*]..URL,126113038.2
crossref1_(551MB),128,12,$.items[*].link[*]..URL,85515603.2
crossref1_(551MB),256,12,$.items[*].link[*]..URL,74965747.8
crossref1_(551MB),512,12,$.items[*].link[*]..URL,63560643
crossref1_(551MB),1024,12,$.items[*].link[*]..URL,56030174
crossref1_(551MB),2048,12,$.items[*].link[*]..URL,50879390.2
crossref1_(551MB),0,13,$.items[*].assertion[*]..name,196549911
crossref1_(551MB),64,13,$.items[*].assertion[*]..name,133992019.4
crossref1_(551MB),128,13,$.items[*].assertion[*]..name,82849437.2
crossref1_(551MB),256,13,$.items[*].assertion[*]..name,68088578
crossref1_(551MB),512,13,$.items[*].assertion[*]..name,58590774.6
crossref1_(551MB),1024,13,$.items[*].assertion[*]..name,53571988.8
crossref1_(551MB),2048,13,$.items[*].assertion[*]..name,50582260.8
crossref1_(551MB),0,14,$.items[*].reference[*].key,285603142.6
crossref1_(551MB),64,14,$.items[*].reference[*].key,228100213
crossref1_(551MB),128,14,$.items[*].reference[*].key,147963443.6
crossref1_(551MB),256,14,$.items[*].reference[*].key,78714261.8
